device_model,device,year,quantization,max_model_b,speculative,display_name,assumptions,source
iphone_6s,iphone,2015,Q4,2.1,false,iPhone 6s,"A9 Bionic 2 GB ~25 GB/s. min(RAM_fit=2*0.8/0.75=2.1B, speed_fit=3*(30/8)*(25/51.2)=5.5B)=2.1B","https://en.wikipedia.org/wiki/IPhone_6s"
iphone_7,iphone,2016,Q4,3.2,false,iPhone 7,"A10 Fusion 3 GB ~34 GB/s. min(RAM_fit=3.2B, speed_fit=3*(30/8)*(34/51.2)=7.5B)=3.2B","https://en.wikipedia.org/wiki/IPhone_7"
iphone_x,iphone,2017,Q4,3.2,false,iPhone X,"A11 Bionic 3 GB ~34 GB/s. min(RAM_fit=3.2B, speed_fit=7.5B)=3.2B","https://en.wikipedia.org/wiki/IPhone_X"
iphone_xs,iphone,2018,Q4,4.3,false,iPhone XS,"A12 Bionic 4 GB ~34 GB/s. min(RAM_fit=4.3B, speed_fit=7.5B)=4.3B","https://en.wikipedia.org/wiki/IPhone_XS"
iphone_11_pro,iphone,2019,Q4,4.3,false,iPhone 11 Pro,"A13 Bionic 4 GB 34 GB/s. min(RAM_fit=4.3B, speed_fit=7.5B)=4.3B","https://en.wikipedia.org/wiki/IPhone_11_Pro"
iphone_12_pro,iphone,2020,Q4,6.4,false,iPhone 12 Pro,"A14 Bionic 6 GB 34 GB/s. min(RAM_fit=6.4B, speed_fit=7.5B)=6.4B","https://en.wikipedia.org/wiki/IPhone_12_Pro"
iphone_13_pro,iphone,2021,Q4,6.4,false,iPhone 13 Pro,"A15 Bionic 6 GB 34 GB/s. min(RAM_fit=6.4B, speed_fit=7.5B)=6.4B","https://en.wikipedia.org/wiki/IPhone_13_Pro"
iphone_14_pro,iphone,2022,Q4,6.4,false,iPhone 14 Pro,"A16 Bionic 6 GB 51.2 GB/s. min(RAM_fit=6.4B, speed_fit=11.3B)=6.4B","https://en.wikipedia.org/wiki/IPhone_14_Pro"
iphone_15_pro,iphone,2023,Q4,8.5,false,iPhone 15 Pro,"A17 Pro 8 GB 51.2 GB/s. min(RAM_fit=8.5B, speed_fit=11.3B)=8.5B","https://en.wikipedia.org/wiki/IPhone_15_Pro"
iphone_16_pro,iphone,2024,Q4,8.5,false,iPhone 16 Pro,"A18 Pro 8 GB 59.9 GB/s. min(RAM_fit=8.5B, speed_fit=13.1B)=8.5B","https://en.wikipedia.org/wiki/IPhone_16_Pro"
iphone_17_pro,iphone,2025,Q4,12.8,false,iPhone 17 Pro,"A19 Pro 12 GB ~70 GB/s. min(RAM_fit=12.8B, speed_fit=15.4B)=12.8B","https://www.apple.com/iphone-17-pro/specs/"
iphone_18_pro,iphone,2026,Q4,17.1,true,iPhone 18 Pro (est.),"A20 Pro speculated 16 GB WL-MCM ~100 GB/s. min(RAM_fit=17.1B, speed_fit=22B)=17.1B","speculative — https://appleinsider.com/articles/26/01/23/what-to-expect-from-the-spring-2027-iphone-18-a20-12gb-of-ram-and-more"
macbook_pro_m1,macbook,2020,Q4,15.0,false,MacBook Pro M1,"M1 16 GB 68.25 GB/s. min(RAM_fit=17.1B, speed_fit=3*(30/8)*(68.25/51.2)=15.0B)=15.0B","https://en.wikipedia.org/wiki/MacBook_Pro_(Apple_silicon)"
macbook_pro_m1_pro,macbook,2021,Q4,17.1,false,MacBook Pro M1 Pro,"M1 Pro 16 GB 200 GB/s. min(RAM_fit=17.1B, speed_fit=43.9B)=17.1B","https://en.wikipedia.org/wiki/MacBook_Pro_(Apple_silicon)"
macbook_pro_m1_pro_2022,macbook,2022,Q4,17.1,false,MacBook Pro (M1 Pro),"M1 Pro 16 GB 200 GB/s (best available; M2 Pro 14/16 released Jan 2023). min(RAM_fit=17.1B, speed_fit=43.9B)=17.1B","https://en.wikipedia.org/wiki/MacBook_Pro_(Apple_silicon)"
macbook_pro_m3_pro,macbook,2023,Q4,19.2,false,MacBook Pro M3 Pro,"M3 Pro 18 GB 150 GB/s (Oct 2023). min(RAM_fit=19.2B, speed_fit=32.9B)=19.2B","https://www.apple.com/macbook-pro/specs/"
macbook_pro_m4_pro,macbook,2024,Q4,25.6,false,MacBook Pro M4 Pro,"M4 Pro 24 GB 273 GB/s (Nov 2024). min(RAM_fit=25.6B, speed_fit=59.9B)=25.6B","https://www.apple.com/macbook-pro/specs/"
macbook_pro_m5_pro,macbook,2025,Q4,38.0,true,MacBook Pro M5 Pro (est.),"M5 Pro estimated 36 GB ~320 GB/s. min(RAM_fit=38.4B, speed_fit=70.3B)~38B","speculative"
macbook_pro_m6_pro,macbook,2026,Q4,50.0,true,MacBook Pro M6 Pro (est.),"M6 Pro speculated 48 GB ~400 GB/s. min(RAM_fit=51.2B, speed_fit=87.9B)~50B","speculative"
