year,metric,value
2000,Newspaper classifieds (est.),27.2
2000,Craigslist new listings,0.1
2005,Newspaper classifieds (est.),24.0
2005,Craigslist new listings,3
2006,Newspaper classifieds (est.),21.9
2006,Craigslist new listings,17
2007,Newspaper classifieds (est.),19.7
2007,Craigslist new listings,25
2008,Newspaper classifieds (est.),14.2
2008,Craigslist new listings,30
2009,Newspaper classifieds (est.),8.6
2009,Craigslist new listings,40
2011,Newspaper classifieds (est.),6.9
2011,Craigslist new listings,60
2012,Newspaper classifieds (est.),6.4
2012,Craigslist new listings,65
2016,Newspaper classifieds (est.),3.2
2016,Craigslist new listings,80
