year,service,trips_per_day
2015,Yellow taxi,400642
2015,Uber,99307
2016,Yellow taxi,358629
2016,Uber,191393
2017,Yellow taxi,311125
2017,Uber,300167
2018,Yellow taxi,281803
2018,Uber,446701
2019,Yellow taxi,230691
2019,Uber,495870
2020,Yellow taxi,67747
2020,Uber,282576
2021,Yellow taxi,84338
2021,Uber,345330
2022,Yellow taxi,108378
2022,Uber,421517
2023,Yellow taxi,104422
2023,Uber,458102
2024,Yellow taxi,111257
2024,Uber,489534
2025,Yellow taxi,131133
2025,Uber,482394
2026 YTD,Yellow taxi,119686
2026 YTD,Uber,506276
